Sentence,Translation,SentenceID,TranslationID
4の5倍は20である。,Four times five is 20.,581661,706919
500円貸してくれない？,Can you lend me 500 yen?,3367994,72565
50分の模擬試験に挑戦して、試験であなたの実力がどれくらいかがわかります。,"Try a 50 minute mock examination, and know just how good you really are.",74427,329293
50歳になったとしても、まだ彼女は息を呑むほど美しかったことだろう。,"Even if she got to be 50 years old, she would still be breathtakingly beautiful.",3601763,3598894
50歳の誕生日を迎える少し前に、彼女は孫が生まれたという知らせを聞いた。,"Shortly before her fiftieth birthday, she received the news about the birth of her grandchild.",876555,717966
5分もかからなかったよ。,It took less than five minutes.,2902789,1931896
5年後に戦争が始まった。,War began five years later.,869761,804176
5時ぐらいだよ。,It's about five.,8762347,7466529
5時ぐらいだよ。,It's about five o'clock.,8762347,7466530
5月18日、1歳になる彼らの子供がプラスティック袋に包まれて排水溝に棄てられているのが見つかり、若い日本人カップルが逮捕された。,"On May 18, a young Japanese couple was arrested after their one-year-old baby was found wrapped in a plastic bag and dumped in a gutter.",882381,2269
5月8日は世界赤十字デーです。,May 8 is World Red Cross Red Crescent Day.,2718477,2757378
5歳の時に自転車に乗れてた？,Were you able to ride a bicycle when you were five years old?,8719827,6713247
6月5日は世界環境デーです。,June fifth is World Environment Day.,2718478,5265702
6月の修学旅行で、雨が降らない方がおかしいよね。,It would be strange if it didn't rain on our field trip in June.,1629222,10011871
7日間で40ドルになります。,40 dollars for seven days.,869732,703309
7時30分だ。大急ぎで行かなくては。,It's 7:30 now. I must fly.,194178,31347
7時に帰るよ。,I'll be back at seven o'clock.,161895,252621
7時に起こしてくれない？,Could you wake me up at seven?,4562456,4586750
80円切手があったらなぁ。,I wish I had an 80-yen stamp.,2922467,2921310
8月8日は国際ネコの日です。,The 8th of August is International Cat Day.,2718479,9235175
9歳の頃、ドイツからイギリスに引っ越しました。,I moved to England from Germany when I was nine.,3047619,1693745
Amazonに会員登録する。,I'm subscribed to Amazon.,8244347,9366073
AとBを反応させるとCが生成されます。,C is formed by reacting A with B.,75322,328397
AはBと大きさが等しい。,A is of equal size to B.,1564955,10053141
Aを取るために一生懸命頑張ってたもんだよ。,I used to try really hard to get straight A's.,10301652,10300100
C++に詳しい？,Are you acquainted with C++?,8505463,3880347
C++使いこなせる？,Are you acquainted with C++?,8505462,3880347
CD売り場はどこですか？,Where can I buy a CD?,9678873,588971
FAXって、何？,What is a fax?,10492634,3391091
Facebookはつまんないよ。,Facebook is boring.,9158514,2419514
Googleアカウントって持ってる？,Do you have a Google account?,3455780,9235020
IDはありますか？,Do you have your ID?,10502091,8780931
OK。新大阪の新幹線出口に行くわ。,OK. I'll go to Shin-Osaka station's shinkansen exit.,1004650,2610349
PC内部のタイマー用ボタン電池が切れた。,The button battery in the PC's internal timer has gone flat.,74025,329695
PC内部のタイマー用ボタン電池が切れた。,The button battery for my computer's timer died.,74025,1506383
Tatoeba ――それは、言語が単語の集まりに勝るものだから。,Tatoeba: Because a language is more than the sum of its words.,8988980,761916
Tatoeba、メリー・クリスマス！,"Merry Christmas, Tatoeba!",9535598,6732233
Tatoebaって、まるで伝言ゲームのようですね。,Tatoeba is exactly like Telephone.,10566809,10566833
Tatoebaでは、ベテランメンバーの言うことをよく聞くんだよ。彼らは何をしてよいか、そしてそれはなぜか、を教えてくれるから。だから、そうしてね。,"In Tatoeba, you gotta always listen to veteran members. They'll tell you what can't be done and why. Then do it.",8218432,451582
Tatoebaで何百個とたくさん文を書きたいが、私にはしなければならないことがある。,"I would love to write hundreds of sentences on Tatoeba, but I've got things to do.",981109,357919
Tatoebaで音声を提供するにはどうすれば良いですか？,How do I contribute audio in Tatoeba?,769558,735081
Tatoebaのおかげで、いろんな言語を知ってるんだ。,I know many languages thanks to Tatoeba.,10185174,9269262
Tatoebaのおかげで、いろんな言語を知ってるんだ。,I know many languages because of Tatoeba.,10185174,9269264
Tatoebaのユーザーは親切です。,The users of Tatoeba are kind.,772440,770832
Tatoebaは、辞書に十分な用例がないときに私が使うサイトです。,Tatoeba is the website I use when I don't find enough examples in dictionaries.,2238239,1819377
Tatoebaへようこそ。,Welcome to Tatoeba!,8534773,1205289
Tatoebaへようこそ。,Welcome to Tatoeba.,8534773,4006788
Tatoeba・プロジェクトのウェブサイトへようこそ。,Welcome to the Tatoeba Project website.,8534772,568331
Tatoeba：言語は単語の集まりにとどまらないから。,Tatoeba: Because a language is more than the sum of its words.,8988979,761916
Twitterのアカウントなら、持ってるよ。,I have a Twitter account.,10227917,3189179
Tシャツやジーンズは、この場にふさわしくありません。,T-shirts and jeans are not suitable for this occasion.,1827962,72176
Tシャツ裏返しだよ。,You're wearing your T-shirt inside out.,8090440,2712706
UFO見たことある？,Have you ever seen a UFO?,3561944,16345
Windows95対応のゲームを動かしたいのです。,I want to run a Windows 95 game.,74050,329670
YouTube には広告がありすぎだよ。,There are too many ads on YouTube.,10049461,5197745
YouTubeがダウンしてるんだよ。,YouTube is down.,9286167,7302942
iPhoneは来月新しいのが出るから、今買うのは得策じゃないと思うよ。,There's a new iPhone coming out next month so I think that it's not such a bright idea to buy one now.,3084781,3129257
iPhoneを見せびらかすのはやめてよ。,Stop showing off your iPhone.,8537228,2059912
…分からない。でも確かに見たんだ。目から血を流した女の人を。,"... I'm not sure. But I'm sure I have seen her, a woman with blood flowing from her eyes.",9641520,10122676
〆切に間に合いますか。,Can you make the deadline?,236133,73510
「0℃！ やばい熱ある」「かわいそうな雪だるまさん」,"""Zero degrees Celsius! I've got a high fever."" ""Poor Mr. Snowman.""",2432357,2458298
「0℃！ やばい熱ある」「かわいそうな雪だるまさん」,"""Thirty-two degrees Fahrenheit! I'm burning up!"" ""Poor Mr. Snowman.""",2432357,2458305
「2時間待った甲斐があったね」「うん！ このサイン、一生の宝物にする」,"""It was worth the two-hour wait."" ""Yeah! I'll cherish this signature for a lifetime.""",3141865,3143719
「2時間待った甲斐があったね」「うん！ このサイン、一生の宝物にする」,"""It was worth the two-hour wait, huh."" ""Yeah! I'll cherish this autograph for the rest of my life.""",3141865,3147421
「7時に起こしてって言ったじゃん」「ごめん、忘れてた」,"""I told you to wake me up at 7."" ""Sorry, I forgot.""",7910758,7911061
「Twitterって何が面白いのか分かんないんだけど」「俺も」,"""I don't know why people think Twitter is so interesting"" ""Me too.""",4708791,4764554
「。」をつけてください。,"Add a period, please.",8873450,10119843
「あ、トム赤くなってる！」「なってねえし！」,"""Tom, you're blushing."" ""No, I'm not.""",2815714,2820133
「ああ！」と彼女は溜息をつきました。,"""Aah!"" she sighed.",464091,504791
「あいつらを信じるのか？」「いいや。あいつらの話、辻褄もあってないんだぜ」,"""Do you believe them?"" ""No, they can't even keep their story straight.""",9752063,9752028
「あっ。新幹線が来ちゃう。お弁当どれにしよう」「これにしなよ」,"""The train's about to arrive. Which one should I order?"" ""Just go with that one.""",8964490,10337058
「あっそ」と流すのもよし、本気にするのもよし。,"You can let it slide with a ""oh?"" or you can take it seriously.",74680,329039
「あなたが仕事を辞めたって聞いたんだけど」「本当はクビになったんだよ」,"""I hear you quit your job."" ""Actually, I got fired.""",2207248,1975655
「あなたが高層ビルから落ちる夢見ちゃった」「おいおい。勝手に人を殺すなよ」,"""I had a dream where you fell off a skyscraper."" ""Whoa, don't be arbitrarily killing others now!""",10109279,10109288
「あなたの事なんて大っ嫌い！」「俺もさ！」,"""I hate you!"" ""Me too!""",9067658,9056324
「あなたの家はどこですか」「それは向こうです」,"""Where is your house?"" ""It is over there.""",237308,73988
「あなたの本はどこですか」「机の上です」,"""Where are your books?"" ""They are on the desk.""",237286,73983
「あなたの本はどこですか」「机の上です」,"""Where is your book?"" ""On the desk.""",237286,3018288
「あなたの自動車はどこの製品ですか」「フォード社のです」,"""What make is your car?"" ""It is a Ford.""",237287,73985
「あなたの辞書を使ってもいいですか」「はい、どうぞ」,"""Can I use your dictionary?"" ""Yes, here you are.""",237285,73984
「あなたの願い事はなに？」と小さい白いウサギが聞きました。,"""What is your wish?"" asked the little white rabbit.",237288,73986
「あなたは、いつも何を考えているの？」と小さい白いウサギが聞きました。,"""What are you always thinking about?"" asked the little white rabbit.",237284,73982
「あなたはいつテレビを見ますか」「夕食後です」,"""When do you watch TV?"" ""I watch TV after dinner.""",237281,73980
「あなたはかなり英語が得意なんですよね？」「そう思いたいものです。」,"""You're pretty good at English, aren't you?"" ""I'd like to think so.""",2136073,1936570
「あなたはそれを終えましたか」「それどころか、今始めたところです」,"""Have you finished it?"" ""On the contrary, I've just begun.""",237278,73715
「あなたはたしか・・・えーと、えーと・・・も」「頭文字から間違っとるわい！！」,"""Let's see, you're ... er, um ... M-"" ""You're wrong from the first letter!!""",75424,328294
「あなたはどこに住んでるのですか」「東京です」,"""Where do you live?"" ""I live in Tokyo.""",237277,73975
「あなたはイスラエルの教師でしょう」とイエスはいった。,"""You are Israel's teacher,"" said Jesus.",237283,73981
「あなたは何が欲しいですか」「犬が欲しいです」,"""What would you like?"" ""I would like a dog.""",237275,73974
「あなたは何が欲しいですか」「犬が欲しいです」,"""What do you want?"" ""I want a dog.""",237275,451481
「あなたは先生ですか」「その通りです」,"""Are you a teacher?"" ""So I am.""",237273,73971
「あなたは先生ですか」「その通りです」,"""Are you a teacher?"" ""Yes, that's right.""",237273,401758
「あなたは先生ですか」「その通りです」,"""Are you a teacher?"" ""Yes, I am.""",237273,401759
「あなたは先週テレビを見ましたか」「いいえ」,"""Did you watch TV last week?"" ""No, I didn't.""",237274,73972
「あの、失礼ですが、カナダの方ですか？」「はい、そうですけど、どうしてお分かりになったんですか？」,"""Excuse me for asking, but are you Canadian?"" ""Yes I am. How did you know?""",3456603,3469321
「あの」「なんか用？」「写真一緒に撮ってもらえませんか？」,"""Ehm"", ""Can I help you?"" ""Would you be able to take a picture with me?""",9331725,10179054
「あの」「わしになんか用かい？」「この柿、ひとつもらってもいいですか？」「ええよ。１つないと２つないと好きなだけ持っていきな」,"""Er"" ""What do you want?"" ""Is it okay if I take one of these persimmons?"" ""Sure, as long as there aren't just one or two left you can take as many as you like.""",9331729,10064385
「あの人たちは、またストをやるんだろうか」「どうもそうらしいね」,"""Will they go on strike again?"" ""I'm afraid so.""",237266,73964
「あの人は誰なんでしょうか」「加藤さんですよ」,"""Who is that man?"" ""Mr Kato.""",237265,73963
「あの城には幽霊がいる」と彼は震えながら言った。,"""The castle is haunted,"" he said with a shiver.",237267,73965
「あの少女は誰ですか」「ケイコです」,"""Who is that girl?"" ""That's Keiko.""",237268,73966
「あの方とあなたのご関係はどうなのですか」「私は彼の父です」,"""What is your relationship to him?"" ""I'm his father.""",77053,326666
「あの本がほしい」と彼は心の中で思いました。,"""I want that book"", he said to himself.",237264,73961
「あの本がほしい」と彼は心の中で思いました。,"""I want that book,"" he said to himself.",237264,1318880
「あの狭い部屋に３０ドルはあんまりだ」と彼は思いました。,"""Thirty dollars is a lot for that small room,"" he thought.",237269,73967
「あの赤い服を着るのはよしなさい」「なぜいけないの」,"""You had better not wear the red dress."" ""Why not?""",237263,73962
「あら、こんにちは。こんなところでお目にかかるとは」「私もびっくりしました」,"""Oh, hello. I wasn't expecting to see you here."" ""I was surprised, too.""",3608675,10109479
「ありがとう。もう一つケーキをいただきます」と内気な青年は言った。,"""Thank you, I'd love to have another piece of cake,"" said the shy young man.",237185,73959
「ありがとう」「とんでもない。私の方こそ、ありがとう」,"""Thank you."" ""No, I should be the one thanking you.""",9225062,9299767
「ありがとう」「どういたしまして」,"""Thank you."" ""You're welcome.""",5278,2077
「ありがとう」「どういたしまして」,"""Thanks."" ""You're welcome.""",5278,1050524
「ありがとう」「何のこと？」「いろいろと」,"""Thanks."" ""What for?"" ""For everything.""",10185208,9203836
「ありがとう」ぐらい言ってもよさそうなのに。,"You might at least say ""thank you.""",229998,67363
「ありがとうご座います」「どう致しまして」,"""Thank you."" ""You're welcome.""",494184,2077
「ありがとうご座います」「どう致しまして」,"""Thanks."" ""You're welcome.""",494184,1050524
「あれ、ここってさっきいたとこじゃない？」「ほんとだ、戻って来ちゃった。おかしいなあ」,""" Wait, isn't this the place we were at a moment ago? "" "" That's right. We came back. That's strange.""",4138899,4197962
「あれ、レタスちゃんと洗った？」「細かいことは気にすんな」,"""Wait, have you washed the lettuce?"" ""Stop worrying over the little things.""",3605253,3605917
「あれは誰の眼鏡？」「彼女のよ」,"""Whose glasses are those?"" ""Hers.""",10175996,5125966
「あれ？ここにパン屋さんなかった？」「それなら、とっくの昔に潰れちゃったよ」「うそ、いつの間に？」「半年前ぐらいかな」,"""Huh, didn't the bakery store use to be here?"" ""Oh, it went bankrupt a while ago."" ""Really? When did that happen?"" ""I think it was about half a year ago.""",9845600,10074177
「あれ？恵子は？」「今日は三者面談だから遅れるって」,"""Eh? Where's Keiko?"" ""Said she's got a parent and child meeting so she'll be late.""",77052,326667
「あれ？恵子は？」「今日は三者面談だから遅れるって」,"""Oh? Where's Keiko?"" ""She said that she has a teacher, parent and child meeting so she'll be late.""",77052,404134
「あんまりあんたは物事を思い詰めすぎる。」,"""You really overthink things.""",4363236,4411460
「いいえ、違います」とイギリス人はさめた返事をしました。,"""No, I'm not,"" replied the Englishman coldly.",237181,73955
「いいえ」とイギリス人は繰り返しました。,"""No,"" repeated the Englishman.",237180,73954
「いい人ね。なんだか気が合いそう」「だろうな」,"""Isn't she nice? I think we'll get on just fine."" ""Same here.""",74873,328846
「いい時計してるね。ちょっと見せて」「どうぞ、昨日買ったばかりなんですよ」,"''Nice watch you've got there. Can I have a look? '' ''Go ahead, I just bought it yesterday.''",10324098,10324994
「いくらだった？」「２０ユーロぐらい」「そんな安い？マジで？」,"""How much did you buy it for?"" ""About 20 euros."" ""That cheap? Really?""",10181649,9203033
「いくら食べても太らない体質だから大丈夫だ」「今この瞬間世界中の人を敵に回したよ」,"""My metabolism is such that no matter how much I eat I don't put on weight."" ""Just now, this second, you've made enemies of people throughout the world.""",75394,328325
「いっしょにきませんか」「ええ、喜んで」,"""Won't you come with us?"" ""I'd be glad to.""",237178,73952
「いつもより早く出勤してください」「了解しました」,"""Please leave for work earlier than usual."" ""Understood.""",8433440,9983344
「いつ戻ったの？」「一昨日だよ」,"""When did you return?"" ""I came back the day before yesterday.""",9314693,73746
「いつ戻ってくるの?」「お天気次第だよ」,"""When will you be back?"" ""It all depends on the weather.""",875456,1506
「いつ戻ってくるの?」「お天気次第だよ」,"""When are you coming back?"" ""That all depends on the weather.""",875456,757415
「いつ戻りますか」「天候次第です」,"""When will you be back?"" ""It all depends on the weather.""",4915,1506
「いま何時？」「3時20分」,"""What time is it?"" ""It's 3:20.""",2815701,372021
「いま家？」「うん、さっき帰ってきたとこ」,"""Are you at home now?"" – ""Yes, I just got in.""",3698452,5956839
「いやだ」ときっぱりした態度でこたえた。,"""No,"" he said in a determined manner.",237150,73947
「うちで働いてみたいかね」とウッドさんが尋ねました。,"""Would you like to work for me, Tony?"" asked Mr Wood.",237147,73944
「うちの赤ちゃんの名前、やっと決めたの」「当ててみるね。トムでしょ！」「どうして分かったの？」,"""We've finally decided on a name for the baby."" ""Let me guess, Tom?"" ""How did you know?""",9331162,9331114
「うちの赤ちゃんの名前、やっと決めたの」「当ててみるね。トムでしょ！」「どうして分かったの？」,"""We've finally decided on a name for our baby!"" ""Let me guess, it's Tom isn't it?"" ""How did you know?""",9331162,9799572
「うわぁママ！あれって一体何だったの？」「怖がらないで。ただの風よ」,"""Ahh! What was that, Mommy?"" ""Don't be scared. It's just the wind.""",4212846,10044934
「うんうん」彼は言った。,"""Oh, yes,"" he answered.",237145,73942
「ええ、わかったわ」とリー夫人が言う。,"""Yes, all right,"" says Mrs. Lee.",237142,73939
「ええ、わかったわ」とリー夫人が言う。,"""Yes. I understand,"" says Mrs. Lee.",237142,1360960
「ええ、オレンジジュースをお願いします」マイクは言った。,"""Yes, orange juice please,"" says Mike.",5026,1620
「ええ、オレンジジュースをお願いします」マイクは言った。,"""Yes, orange juice please,"" Mike said.",5026,3188190
「えっと、今日何日でしたっけ？」「8月5日ですよ」,"""Um, what day was it today again?"" ""August 5th.""",2654893,2654992
「おい、だまれ。口数が多いぞ」とそのギャングの一味が言った。,"""Hey, you shut up! You talk too much,"" the gangster said.",237140,73937
「おい、亀公、お前良心ないのンか」 「ない」 「ない…？　良心がない…？」 「あったけど、今はないわい」,"""Hey, Kameko, don't you have a conscience?"" ""No."" ""You don't...? You don't have a conscience...?"" ""I had one, but now I don't.""",3054174,3054343
「おいでおいで」彼女は叫びました。「こっちであそぼ」,"""Come, boy,"" she called, ""come and play.""",237139,73936
「おかしいことなんかじゃないわ。誰かがあなたにそんなことをしたら、あなたどう思う。どうする？」と彼女は言った。,"She said, ""It's not funny! How would you like it if someone did that to you - what would you do?""",236659,73934
「おさきにしつれいします」「おつかれさまでした」,"""I'm finished for the day."" ""Much appreciated.""",74733,328986
「おしっこしたい」「ジョニー、そうじゃないだろ。『すみません。お手洗いにいきたいんですが』と言いなさい」,"""I have to pee."" ""Jonny, that's not the right thing to say. Say, 'Excuse me. I need to go to the toilet.'""",77044,326675
「おっさん、やさしいなー。」ウィリーは言った。,"""That's very nice of you,"" Willie answered.",4928,1517
「おはよう。雪積もってるよ」「まじで！？」,"""Good morning. The snow is piled up outside."" ""Really!?""",3716351,4644981
「おはよう」とトムは微笑みながら言った。,"""Good morning"", said Tom with a smile.",5171,1780
「おはよう」とトムは微笑みながら言った。,"""Good morning,"" Tom said, smiling.",5171,6701218
「おはようございます。今日は遅かったですね」「うん。ちょっと手間取っちゃって」,"""Good morning. You're a bit late today, aren't you?"" ""Yes, I ran into a bit of trouble.""",75540,328178
「おはようございます。今日は遅かったですね」「うん。ちょっと手間取っちゃって」,"""Good morning. You're late today, aren't you?"" ""Yeah, I got a bit caught up.""",75540,1643209
「おはようございます。今日は遅かったですね」「うん。ちょっと手間取っちゃって」,"""Good morning. You were a bit late today."" ""Mhm, I got a tad delayed.""",75540,1665448
「おばあちゃんは？」「ソファで寝てるよ」,"""Where is Grandma?"" ""She's sleeping on the couch.""",2826605,1365639
「おばあちゃんは？」「ソファで寝てるよ」,"""What's Grandma doing?"" ""She's sleeping on the couch.""",2826605,2826606
「おまえの軍など我が軍に対しては無力だよ」と、彼は笑っていった。,"""Your army is impotent against mine!!"" he laughed.",236655,73930
「おやすみ、トム」「おやすみ、メアリー」,"""Good night, Tom."" ""Good night, Mary.""",9553731,9553722
「お似合いのカップルになりそうだね」「ええっ？」,"""I think you'd make a cute couple."" ""Whaat?""",10129702,5373268
「お住まいはどちらですか？」「東京です」,"""Where do you live?"" ""I live in Tokyo.""",2826603,73975
「お前のこと、好きな奴なんていないよ」「そんなことないもん！」,"""No one likes you."" ""It's not true!""",9119634,2460957
「お前のこの不自然な英文どうしよう？」「変えるなり消すなり、好きにしていいから、どうにかして」,"""What should we do with this unnatural English sentence of yours?"" ""Change it or delete it. Just make it work somehow.""",10535265,10543430
「お前まさかもう酔ってる？」「酔ってない酔ってない」,"""Don't tell me you're already drunk."" ""I'm not, I'm not drunk.""",3199779,3200309
「お前みてえなおかちめんこは初めて見た」と言ったら、「セクハラだ」と言われた。,"When I told her I'd never seen such a homely girl, she accused me of sexual harassment.",236652,73927
「お医者さんになろうと思ったきっかけは何だったの？」「僕はね、人体に興味があったのと、人の役に立ちたいって思ったからなんだ」,"""What made you decide to become a doctor?"" ""I was interested in the human body, and I wanted to help other people.""",10010717,10010719
「お召し上がりですか？お持ち帰りですか？」「ここで食べます」,"""Do you want it to eat here, or take away?"" ""Eat here please.""",399255,399256
「お名前は何ですか？」「トムです」,"""What's your name?"" ""My name's Tom.""",10336864,5248477
「お名前は何ですか？」「トムです」,"""What's your name?"" ""My name is Tom.""",10336864,6846858
「お名前は何ですか？」「ヤニー」,"""What's your name?"" ""Yanni.""",10242795,10064755
「お名前は何ですか？」と尋ねました。,"""What's your name?"" I asked.",10478029,597366
「お好み焼きなら毎日でも食べれるよ」っていう人がいるけど、私には無理。,"Although there are people who say they are able to eat okonomiyaki every day, it wouldn't work for me.",9025965,10088560
「お宅にお邪魔してもよろしいですか。」「いつでも構いませんよ。」,"""May I come over to your house?"" ""Anytime you want.""",2101363,1871950
