Order,Component,Type
101,その宝物は山中のどこかに隠されていると信じられている。,sentence
102,抜粋,word
103,彼はその詩から一節を抜粋した。,sentence
104,顎髭,word
105,あの長い顎ひげのドイツ人を知っています。,sentence
106,暴風,word
107,その暴風雨は大損害をもたらした。,sentence
108,暴風雨,word
109,今暴風雨警報がでている。,sentence
110,インカ,sentence-component
111,インカ人はヨーロッパ人よりも多く風呂へ入った。,sentence
112,暴騰,word
113,厳しい住宅不足は１つには暴騰した家賃のせいである。,sentence
114,ボールペン,word
115,「何か書くものをくれ」「このボールペンでいいですか」,sentence
116,月謝,word
117,ピアノの月謝ちょうだい。,sentence
118,はらはら,word
119,こんなにはらはらする本は読んだことはない。,sentence
120,朝礼,word
121,紙魚,word
122,染み,word
123,このインキの染みは洗っても落ちない。,sentence
124,しみ,word
125,あなたの襟にしみがついています。,sentence
126,模倣,word
127,全ての子供には、尊敬し模倣する人が必要だ。,sentence
128,全体的,word
129,この問題は全体的に考えるべきです。,sentence
130,正装,word
131,君は正装する必要は無かった。,sentence
132,明るみ,word
133,その事件は明るみに出た。,sentence
134,洋間,word
135,勃発,word
136,その戦争は偶然に勃発したわけではない。,sentence
137,温和,word
138,その国は気候が温和だ。,sentence
139,白黒,word
140,その写真は白黒です。,sentence
141,滅びる,word
142,ローマ人は自分たちの帝国が滅びることを望まなかった。しかしそれは滅びてしまった。,sentence
143,日本食,word
144,あなたはすぐに日本食に慣れますよ。,sentence
145,無情,word
146,彼は無情にも妻を捨てた。,sentence
147,タワー,word
148,あなたはロンドンタワーを訪れましたか。,sentence
149,無神経,word
150,クリスはとても失礼で無神経だから私は彼が嫌いなの。,sentence
151,グレー,word
152,グレイ先生はその少年に自分がしゃべっている間は黙っていなさいと言った。,sentence
153,無色,word
154,無色の緑の概念が激しく眠る。,sentence
155,マイケル,sentence-component
156,いざ踊るとなるとマイケルジャクソンの右にでるものはいない。,sentence
157,片仮名,word
158,ケリー,sentence-component
159,ケリーがテレビにでてるよ。,sentence
160,独り占め,word
161,当たった宝くじの賞金の大半を、ジョンは独り占めにした。宝くじを買おうと最初に思いついたのは彼なのだからというのがその言い分だ。,sentence
162,1980,sentence-component
163,この自動車の生産は１９８０年に始まった。,sentence
164,生まれ付き,word
165,「ねえ、なんでそんなにかっこいいの？」「生まれつきだよ」,sentence
166,生まれつき,word
167,相性,word
168,あいつとはどうも相性が合わないんだ。,sentence
169,略語,word
170,申込書,word
171,あいにく私はあなたの申込書を今持ち合わせていない。,sentence
172,省略,word
173,その文からこの言葉を省略すべきです。,sentence
174,新婚旅行,word
175,その新婚夫婦は新婚旅行でハワイに出かけて行った。,sentence
176,真心,word
177,彼女は彼に真心こめて感謝しました。,sentence
178,ベーカー,sentence-component
179,ベイカーさんは学者というよりはむしろ作家だ。,sentence
180,秘める,word
181,「秘めた恋」という題の作文で、メアリーは賞をもらった。,sentence
182,ヒルトン,sentence-component
183,ここからヒルトンホテルまでどのくらい時間がかかりますか。,sentence
184,等価,word
185,アラン,word
186,アランさんはコンビニで火曜日と金曜日の夜に働きます。,sentence
187,策略,word
188,今夜はどんな策略をお使いになるの。,sentence
189,メイン,word
190,昨日の競馬のメインレースは、とってもかたくおさまったよ。ああいうのを、銀行レースって言うんだよね。,sentence
191,紀元,word
192,フォークが食事用として一般に使われ始めたのは、紀元後１０世紀のことであった。,sentence
193,其奴,word
194,そいつの使い方が分からないんだ。,sentence
195,終着,word
196,終着駅,word
197,スパゲッティ,word
198,このお店ではスパゲッティをお箸でいただくんです。,sentence
199,縁側,word
200,オリーブ,word
201,オリーブが好きなんだよね？,sentence
202,縞,word
203,あのグリーンの縞のシャツ、今洗濯してるん？,sentence
204,フェイスブック,word-reading
205,「フェイスブックやってる？」「一応ね。でもほとんど使ってない」,sentence
206,羽織,word
207,バスケ,word
208,「母さん、ちょっとバスケしてくる」「はい。はい。行ってらっしゃい」「行ってきます！」「気をつけてね。夕飯までには、帰ってきなさいよ」「は～い」,sentence
209,芋,word
210,長居,word
211,ごめん。長居できないの。,sentence
212,草食,word
213,これらの動物は草食動物である。,sentence
214,嬉しさ,sentence-component
215,その知らせが本当だと知ったとたん、彼女は嬉しさの余り泣かないではいられなかった。,sentence
216,袴,word
217,敬う,word
218,お年寄りは敬わなければならない。,sentence
219,西洋人,word
220,28,sentence-component
221,2月は28日しかない。,sentence
222,資本家,word
223,靴紐,word
224,ちょっと待って。靴ひもほどけた。,sentence
225,身軽,word
226,捕らえることのできないもの、身軽で素早いもののたとえ、だそうです。,sentence
227,苛立つ,word
228,「なぜ？」少しいらだって、娘はたずねた。,sentence
229,通用,word
230,このジョークはフランス語では通用しない。,sentence
231,使い熟す,word
232,C++使いこなせる？,sentence
233,長引く,word
234,その経済学者は長引く不況を予期していた。,sentence
235,碼,kanji
236,碼,word
237,ヤード,word
238,「安いんだね。10ヤードもらおうかな。」と、その女の子は答えた。,sentence
239,非常識,word
240,彼は非常識だ。,sentence
241,蛸,kanji
242,蛸,word
243,タコは血が青いです。,sentence
244,胼,kanji
245,胝,kanji
246,胼胝,word
247,たこ,word
248,お祖母さんの昔話は耳にたこができるほど聞かされた。,sentence
249,飽き,word
250,彼らは待つことに飽きがきていた。,sentence
251,但し,word
252,ただし、列をつくって並ばなくてはならないが・・・。,sentence
253,駅長,word
254,弾,word
255,この銃には弾が入っていません。,sentence
256,下品,word
257,フォークや箸を使う人は、使わない人を下品と思いがちだ。,sentence
258,払い戻し,word
259,このチケットの交換・払い戻しはできません。,sentence
260,不始末,word
261,あなたはその不始末に責任を取らねばならない。,sentence
262,貫く,word
263,ある人物が不変の性質で全人生を貫くということは小説の中だけの話だ。,sentence
264,不確か,word
265,彼は自分の未来について不確かだ。,sentence
266,クリック,word
267,問題の答えを見るには、問題をクリックしてください。,sentence
268,中指,word
269,トムは今日校長に中指を立てました。,sentence
270,カラー,word
271,あまり太ったのでカラーの前が合わなかった。,sentence
272,乗り場,word
273,ここにはバスの乗り場がある。,sentence
274,煮える,word
275,この野菜はなかなか煮えない。,sentence
276,二流,word
277,それはせいぜい二流のホテルだ。,sentence
278,堂,word
279,彼の踊りは堂に入ってる。,sentence
280,作り上げる,word
281,勤勉さが今の彼をつくりあげた。,sentence
282,ダウンロード,word
283,「保存」ボタンをクリックするとダウンロードが始まります。,sentence
284,偶数,word
285,十二は偶数だ。,sentence
286,加藤,sentence-component
287,「あの人は誰なんでしょうか」「加藤さんですよ」,sentence
288,催促,word
289,捻る,word
290,いくら頭を捻ろうがそんな名前は出てこなかった。,sentence
291,元々,word
292,もともと建築デザインという分野で提案されたエメット理論がなぜ物理学において重要なのかを明らかにしたい。,sentence
293,ミニスカート,word
294,トムのおばあちゃんがミニスカートをはくには歳を取り過ぎていると思う。,sentence
295,制止,word
296,彼はその車を制止しなかった。,sentence
297,ギャンブル,word
298,「宝くじでも買う？」「俺、ギャンブル運とか無さそうだしなぁ」,sentence
299,劣等,word
300,劣等感,word
301,あなたが誰かに劣等感を感じる理由はないのです。,sentence
302,チーズケーキ,word
303,そのチーズケーキは味が甘すぎた。,sentence
304,動じる,word
305,その子は級友たちに笑われても動じなかった。,sentence
306,マザー,word
307,マザー・テレサは、貧しい人々が何を必要としているかを見て回ることから活動を始めた。,sentence
308,原書,word
309,この本は原書の要約版です。,sentence
310,喚く,word
311,その男は苦痛でわめいた。,sentence
312,各位,word
313,裂ける,word
314,この口が裂けても言えません！,sentence
315,坊っちゃん,word
316,仕上がる,word
317,このパズルは明日までに仕上がるでしょう。,sentence
318,客車,word
319,つばさの客車は何両ですか。,sentence
320,冴える,word
321,なんだか目が冴えちゃって、眠れなくなっちゃった。,sentence
322,寄生,word
323,イヌに寄生するノミは、ネコに寄生するノミより高く飛ぶことが証明された。,sentence
324,トレーニング,word
325,うちの子ね、トイレトレーニングをしてるのよ。,sentence
326,対称,word
327,地球は赤道に関して対称ではない。,sentence
328,ダイヤル,word
329,ぼくはうっかり受話器をはずさないでダイヤルを回した。,sentence
330,屈折,word
331,干る,word
332,潮の干た時に砂浜を歩きました。,sentence
333,締まる,word
334,我々は玄関が締まっているのが分かった。,sentence
335,引き締まる,word
336,ウインドー,word
337,あそこのウィンドウの中にあるのを見せて下さい。,sentence
338,忘れ物,word
339,そのかばんは忘れ物なんだ。,sentence
340,見惚れる,word
341,トムとメアリーは手をつないで景色に見とれていた。,sentence
342,怖がる,word
343,数日間,word
344,ここには数日間しかいない。,sentence
345,恩人,word
346,その医者は私の命の恩人だ。,sentence
347,人手,word
348,このロボットは多くの人手を省く。,sentence
349,持ち直す,word
350,仇,kanji
351,仇,word
352,お互い仇同士だ。,sentence
353,握力,word
354,彼は握力がとても強い。,sentence
355,サーバー,word
356,またサーバー落ちてる。,sentence
357,整列,word
358,そのバス停で人々は整列して待っていたが、バスが止まるとすぐにその列は崩れた。,sentence
359,才,word
360,「そうか。やはり私のほうが年を食ってる。私は今年で２０うんたら才だ」「いや、わかんねーよ」,sentence
361,敷居,word
362,あんな敷居が高い人、相手にしません。,sentence
363,奪い取る,word
364,その男は彼女のかばんを奪い取った。,sentence
365,時雨,word
366,いつ何時雨が降るかもしれないよ。,sentence
367,せき,word-reading
368,からせきが出ます。,sentence
369,束縛,word
370,トムはメアリーを束縛してるんだ。,sentence
371,旅人,word
372,その旅人は空腹のために気を失ったが、すぐに正気づいた。,sentence
373,果てし,word
374,この果てしない宇宙にいるのは、私たち人類だけですか？,sentence
375,果てしない,word
376,商う,word
377,この会社は様々な商品を商っています。,sentence
378,桶,word
379,彼女が電話をしている間にふろ桶があふれた。,sentence
380,悲観的,word
381,あんな悲観的な経済学者たちの言うことなんか、全然当てにならないよ。,sentence
382,毎度,word
383,「ご注文は？」「オレンジジュース」「アイス付きで？」「そう」「まいど」,sentence
384,竦,kanji
385,竦む,word
386,ヘビを見て足がすくんでしまった。,sentence
387,洋式,word
388,私は洋式のホテルに泊まりたい。,sentence
389,任せ,word
390,消灯,word
391,消灯は何時ですか？,sentence
392,お任せ,word
393,あなたにお任せします。,sentence
394,渦巻き,word
395,有名人,word
396,その町は多くの有名人を生んだ。,sentence
397,湯気,word
398,シャワーの後、トムは湯気で曇った鏡を拭いて、ひげを剃った。,sentence
399,立ち向かう,word
400,この世界にいる誰もが、多くの困難に立ち向かわなければならない。,sentence
401,点滅,word
402,捜し求める,word
403,唯一の有益な知識とは、よいものを捜し求め、悪いものを避ける方法をわれわれに教える知識である。,sentence
404,煮込む,word
405,輸入品,word
406,あの店では輸入品を売っている。,sentence
407,目上,word
408,ソレが年上や目上の者に対する態度か！,sentence
409,雛菊,word
410,二人の幼い少女がひなぎくを摘んでいます。,sentence
411,硬い,word
412,正当化,word
413,あなたは自分の行為を正当化できますか。,sentence
414,礼金,word
415,雨宿り,word
416,ここで雨宿りをしよう。,sentence
417,禁ずる,word
418,敵軍,word
419,我々は敵軍に勝った。,sentence
420,禁酒,word
421,医師の警告で禁酒の決意が固くなった。,sentence
422,一貫,word
423,ここの工場は、部品から製品までを一貫生産している。,sentence
424,秀才,word
425,エジソンは秀才ではなかった。,sentence
426,マージャン,word-reading
427,あの人達はさかんに麻雀を楽しんでいた。,sentence
428,突っ張る,word
429,ミュージック,word
430,ミュージックボックス劇場では何をやっていますか。,sentence
431,等分,word
432,この線を２０等分せよ。,sentence
433,図々しい,word
434,あいつは図々しい奴だ。,sentence
435,糊,word
436,彼はメモをドアに糊で貼った。,sentence
437,螺子,word
438,この機械は１時間に千個のねじを製造する。,sentence
439,耕す,word
440,かれらは土地をたがやした。,sentence
441,腹ぺこ,word
442,お昼ご飯を食べなかったから、腹ぺこだ。,sentence
443,肌着,word
444,彼は肌着を裏返しに着た。,sentence
445,坊や,word
446,あっちへ行きな、ぼうや。,sentence
447,行き来,word
448,好きなように行き来していいですよ。,sentence
449,直様,word
450,あれこれ苛々している主婦は、電話が鳴るとすぐさま受話器を取った。,sentence
451,見習い,word
452,じゅう,word-reading
453,そこらじゅう蚊に刺されてかゆくてしょうがない。,sentence
454,赤飯,word
455,チューリップ,word
456,やっとチューリップが芽を出した。,sentence
457,車椅子,word
458,彼らは、特別のコンピューター・システムを開発し、それを彼の車椅子に取り付けた。,sentence
459,暢気,word
460,お前は当事者じゃないから、そんなのんきなこと言ってられるんだよ。,sentence
461,軽薄,word
462,平静,word
463,トムは平静を保とうとした。,sentence
464,逃がす,word
465,こんなにすばらしい機会を逃がしてはいけない。,sentence
466,余儀,word
467,その大臣は内閣からの辞職を余儀なくされた。,sentence
468,閉口,word
469,君のわがままには閉口する。,sentence
470,部屋代,word
471,あなたは部屋代を１ヶ月滞納している。,sentence
472,雑,word
473,お前は物を雑に扱い過ぎる。もっと丁寧にやれよ。,sentence
474,吋,word
475,インチ,word
476,うちの息子は去年身長が５インチ伸びた。,sentence
477,香る,word
478,庭には薔薇の花が香っている。,sentence
479,日没,word
480,あんなきれいな日没は見たことが無い。,sentence
481,何て,word
482,思い止まる,word
483,トムに電話しようとしたが、思いとどまった。,sentence
484,偏る,word
485,ハンバーガーばかり食べていると、栄養が偏るよ。,sentence
486,逞しい,word
487,トムは逞しい青年だ。,sentence
488,内向,word
489,暖める,word
490,このストーブではあの大きな部屋を暖めることはできない。,sentence
491,冬眠,word
492,どうして人間は冬眠しないのですか？,sentence
493,瞑,kanji
494,瞑る,word
495,「ちょっと目つぶってて」とトムが囁いた。メアリーが目をつぶると、トムはメアリーの唇にそっとキスをした。,sentence
496,吟味,word
497,モノを買う時は、よく吟味してから買いなさい。,sentence
498,ほっそり,word
499,ほっそりとした姿に対する若い女性の願望は強い。,sentence
500,命ずる,word
501,追い払う,word
502,彼はその犬を追い払った。,sentence
503,堆積,word
504,赤らめる,word
505,その男はまるで少年のように顔を赤らめた。,sentence
506,奮う,word
507,奮ってご参加ください。,sentence
508,赤十字,word
509,5月8日は世界赤十字デーです。,sentence
510,実る,word
511,この木には毎年おいしい桃が実る。,sentence
512,待ち合い,word
513,寄せ集め,word
514,二人は仲間、三人は寄せ集めの群れ。,sentence
515,待合室,word
516,その待合室はあまりにうるさくて、自分の名前が呼ばれるのが聞こえなかった。,sentence
517,平方,word
518,彼の牧場は、２０平方マイルに及んでいる。,sentence
519,廃虚,word
520,あの古代の廃虚は、かつては神社だった。,sentence
521,弁済,word
522,重病,word
523,その少年は重病と戦った。,sentence
524,怪奇,word
525,かる,word-reading
526,「女の子とキスしてみたいとか思わないの？」「うん。そういう衝動にかられたことないんだよな」「えっ、男の子としてみたいとかってこと？」「違います！」,sentence
527,恐る恐る,word
528,一足,word
529,トムは自分の車のトランクに、予備の靴を一足入れてある。,sentence
530,抜かす,word
531,どうして試験で最初の問題を抜かしたの？,sentence
532,寒気,word
533,いいえ、でもちょっと寒気がして。,sentence
534,搾取,word
535,雇い主は、時に従業員を搾取する。,sentence
536,長々,word
537,先生は時間を守ることの大切さについて長々と述べた。,sentence
538,文語,word
539,墺,kanji
540,墺,word
541,太利,word-component
542,オーストリア,word
543,あなたはオーストリア出身ですか、オーストラリア出身ですか。,sentence
544,日光浴,word
545,彼女はそのとき日光浴をしていました。,sentence
546,バレー,word
547,トムって、バレーが上手いんだよ。,sentence
548,月見,word
549,明日、月見の会があるだろう。,sentence
550,ボクシング,word
551,さあ、少しボクシングをしよう。,sentence
552,椀,word
553,そのお椀のスープはとてもおいしかった。,sentence
554,集め,word
555,ごみは週３で集めに来る。,sentence
556,次男,word
557,1950,sentence-component
558,その会社は１９５０年に今の会長が設立した。,sentence
559,比喩,word
560,あまりに花は壊れやすくて、そしてとても奇麗なので、詩や比喩を使わなくても言葉に出来ません。,sentence
561,木の実,word
562,ボブはいろいろな種類の木の実を見つけた。,sentence
563,汽笛,word
564,汽笛が鳴って船はゆっくりと港から離れていった。,sentence
565,機知,word
566,会話にとって機知は食物に対する塩のようなものである。,sentence
567,混じる,word
568,トムは知らない人に混じって居心地が悪かった。,sentence
569,知らす,word
570,ある朝、食事のときに、私たち子どもは、もうこれからはしたい放題のことをして暮らすことは許されなくなると知らされて、すっかり落胆した。,sentence
571,添削,word
572,あとで添削せにゃ。,sentence
573,場違い,word
574,あなたが言ったことは、かなり場違いでした。,sentence
575,清らか,word
576,軽んじる,word
577,このごろ正直さがかなり軽んじられているようだ。,sentence
578,無心,word
579,あいつはいつも親に金を無心している。,sentence
580,歓呼,word
581,その選手はファンに歓呼して迎えられた。,sentence
582,目盛り,word
583,ラッキー,word
584,お前、雨に降られなくてラッキーだったな。,sentence
585,目覚まし時計,word
586,トムさんは目覚まし時計を六時に鳴るように設定しました。,sentence
587,トーマス,sentence-component
588,トーマスはあなたが住む所で一般的な名前ですか？,sentence
589,直角,word
590,この２つの直線は直角に交わっている。,sentence
591,善良,word
592,世間並みに言えば、彼は善良な人です。,sentence
593,相関,word
594,企む,word
595,あなたが何を企んでいるかお見通しだ。,sentence
596,礼服,word
597,悪習,word
598,いったんタバコを吸い始めると、その悪習をやめるのは難しい。,sentence
599,純情,word
600,君って、意外に純情だね。,sentence
601,聞き入れる,word
602,お願いを聞き入れていただけますか。,sentence
603,紛れ,word
604,それは紛れもない事実である。,sentence
605,玉蜀黍,word
606,お父さんがさぁ、鶏がトウモロコシ食ってるような打ち方するって言うのよ。,sentence
607,網羅,word
608,すべてを網羅した教科書など存在しない。,sentence
609,働き者,word
610,あなたは働き者だ。,sentence
611,脇役,word
612,ケイトがある映画で脇役を演じた時、彼女の演技は批判されました。,sentence
613,ぎょっと,word
614,ぎょっとして飛び上がる。,sentence
615,脱線,word
616,列車は脱線した。,sentence
617,っ子,word
618,人っ子一人いなかった。,sentence
619,苦笑い,word
620,善人,word
621,ちょっと見ただけでは善人と悪人の区別はつかない。,sentence
622,荒っぽい,word
623,ボクシングは必ずしも荒っぽいスポーツではない。,sentence
624,上機嫌,word
625,お酒を飲んでいるうちに、彼はすっかり上機嫌になり、どれほど病院がいやなものかをみんなに何度もしゃべった。,sentence
626,葉っぱ,word
627,その葉っぱは落ち葉だ。,sentence
628,コック,word
629,あなたは素敵なコックさんですね。,sentence
630,薄める,word
631,インタビュー,word
632,この問題に対する両者の意見を聞くために、二人の方にインタビューをしてみようと思います。,sentence
633,虚無,word
634,急用,word
635,あなたに急用がある。,sentence
636,裁縫,word
637,彼は座って本を読み、火のそばでは妻が裁縫をしていた。,sentence
638,床屋,word
639,「どこへ行ってきたのですか」「床屋へ行ってきたところです」,sentence
640,裾,word
641,ギリシャ語,word
642,この単語はギリシャ語から来ている。,sentence
643,話し込む,word
644,ゲート,word
645,それはどのゲートですか。,sentence
646,適宜,word
647,プラットフォーム,word
648,ジョンはプラットホームでメアリーを待っている。,sentence
649,遭う,word
650,目撃者,word
651,その刑事は目撃者を守ってくれた。,sentence
652,降水,word
653,打って付け,word
654,その青年はその地位にうってつけだ。,sentence
655,陳腐,word
656,いざという時,word
657,いざというときのためにお金をためておきなさい。,sentence
658,雨漏り,word
659,うちの屋根ね、雨漏りしてるの。,sentence
660,ミュージカル,word
661,そのミュージカルの切符を手に入れるのに彼は１０ドルかかった。,sentence
662,頻発,word
663,ジャイアンツ,sentence-component
664,やめてよ！私はジャイアンツ・ファンなのよ。,sentence
665,顔触れ,word
666,マスコミ,word
667,この問題についてマスコミは偏った報道ばかりしている気がする。,sentence
668,風鈴,word
669,トムって、風鈴の音が大嫌いなんだよ。,sentence
670,四半,word
671,黄昏,word
672,たそがれの空に厚い雲がかかっている。,sentence
673,入場料,word
674,ここは入場料を払わなきゃいけないんだ。,sentence
675,三日月,word
676,銃声,word
677,その銃声に我々はあっと驚いた。,sentence
678,不得意,word
679,どの教科が不得意ですか。,sentence
680,勘弁,word
681,「トムさんて、背が高くて逞しいのね。こっちにきてキスしてくださらない？」「すんません、勘弁してください。自分、結婚してるんで」,sentence
682,人造,word
683,これらの真珠は人造ではなく本物です。,sentence
684,短,word
685,伝染,word
686,それって伝染するの？,sentence
687,ブリッジ,word
688,ちゃんとしたブリッジは１か月後に入ります。,sentence
689,供える,word
690,トムはメアリーの墓に花を供えた。,sentence
691,イスラエル,word
692,「あなたはイスラエルの教師でしょう」とイエスはいった。,sentence
693,兆,word
694,共和国,word
695,その共和国の大統領は人民によって選出される。,sentence
696,全滅,word
697,その町の住民は全滅した。,sentence
698,トラベラーズ,sentence-component
699,このトラベラーズ・チェックを現金に換えて下さい。,sentence
700,前触れ,word
701,ツバメは夏の前触れだ。,sentence
702,ボクサー,word
703,そのボクサーは体重を抑えておく努力をした。,sentence
704,割に,word
705,ジョーン,sentence-component
706,あなた、ジョーンと喧嘩したんですって？,sentence
707,取り寄せる,word
708,お取り寄せいたしましょうか。,sentence
709,ジャネット,word
710,ジャネット、赤ん坊を見ていてね。,sentence
711,回り道,word
712,回り道でなければこの手紙を郵便局へ持って行って下さい。,sentence
713,スウェーデン,word
714,スイスはスウェーデンじゃないよ。,sentence
715,大文字,word
716,アルファベットを大文字で書きなさい。,sentence
717,ティム,sentence-component
718,ティムが見つからない。,sentence
719,失恋,word
720,それから８ヶ月が過ぎると、ジョージは失恋から立ち直り、次第に色んな女とデートをするようになる。,sentence
721,航空券,word
722,もう少し安ければその航空券を買っただろうに。,sentence
723,差し支え,word
724,屋根裏,word
725,それって、まだ屋根裏部屋にあるの？,sentence
726,差し支える,word
727,ここにいてもらっても差し支えありません。,sentence
728,チャールズ,sentence-component
729,チャールズに手伝わせようとしたのですが、手伝ってくれませんでした。,sentence
730,形見,word
731,この指輪ね、祖母の形見なの。,sentence
732,今更,word
733,いまさらあの事故のことで彼を非難しても仕方ない。,sentence
734,彫る,word
735,トムがカボチャを彫ったんだ。,sentence
736,警備員,word
737,あの警備員は何でも規則通りにする傾向がある。,sentence
738,息切れ,word
739,もう息切れしてるの？,sentence
740,懐中,word
741,この懐中電灯は明かりが弱くなってきた。,sentence
742,慣らす,word
743,この犬は見知らぬ人に吠えるよう慣らされている。,sentence
744,ベルリン,word
745,いつベルリンに引っ越しましたか？,sentence
746,投射,word
747,願い事,word
748,「あなたの願い事はなに？」と小さい白いウサギが聞きました。,sentence
749,操る,word
750,あの通訳は５か国語を自由に操る。,sentence
751,チップス,sentence-component
752,トムはチップスとクッキーを全部食べちゃったんだ。,sentence
753,暗示,word
754,彼の言葉は何を暗示しているのか。,sentence
755,デビッド,sentence-component
756,デイビッドは、列車が見えている間ずっとプラットホームにいた。,sentence
757,歩合,word
758,ワン,word
759,あのワンちゃん、あげちゃったの？,sentence
760,毒薬,word
761,ハグ,word
762,あなたとトムがハグしてるの見ちゃった。,sentence
763,気兼ね,word
764,トムは気兼ねすることなく自分の意見を述べたことがない。,sentence
765,先程,word
766,さきほどおっしゃったことを、もう一度お願いできますか。,sentence
767,空虚,word
768,人生は空虚な夢ではない。,sentence
769,ユーロ,word
770,「いくらだった？」「２０ユーロぐらい」「そんな安い？マジで？」,sentence
771,競う,word
772,彼らは賞を取ろうとお互いに競った。,sentence
773,丸一日,word
774,コンピュータの修理に丸一日かかった。,sentence
775,符号,word
776,恐怖症,word
777,トムは犬恐怖症です。,sentence
778,細長い,word
779,射る,word
780,あなたが言ったことは全く的を射ていませんでした。,sentence
781,自炊,word
782,私は自炊に慣れている。,sentence
783,舞い上がる,word
784,うれしさで舞い上がっています。,sentence
785,船便,word
786,この小包を船便で送ってください。,sentence
787,仕返し,word
788,この侮辱はきっと仕返しをしてやるから。,sentence
789,蝉,kanji
790,蝉,word
791,御釣り,word
792,お釣りはいいです。,sentence
793,見ず知らず,word
794,なあ,word
795,「なあ、そこの姉さん」「え？」「ちょっと相談に乗ってくれないか？」,sentence
796,見苦しい,word
797,ここだけの話だけど、あの太った見苦しい魔女はダイエット中なの。,sentence
798,ニュートン,word
799,その子はニュートンのような人になりたがっている。,sentence
800,詠む,word
801,スクール,word
802,僕はあの学校のスクールカラーがすきではない。,sentence
803,貸し出す,word
804,本を貸し出すほかに、図書館は他のいろいろなサービスを提供する。,sentence
805,―,sentence-component
806,Tatoeba ――それは、言語が単語の集まりに勝るものだから。,sentence
807,逃げ道,word
808,彼女に逃げ道はない。,sentence
809,タイミング,word
810,いいタイミングだ。,sentence
811,雨戸,word
812,メールアドレス,word
813,あなたのメールアドレスをなくしてしまいました。,sentence
814,魅惑,word
815,ベランダ,word
816,この部屋、ベランダがあるのよ。,sentence
817,参り,word
818,御参り,word
819,１月１日は多くの日本人が神社にお参りする日です。,sentence
820,お参り,word
821,麦(麥),kanji-variant
822,麩,kanji
823,天麩羅,word
